15:07:17.564[localhost-startStop-1][INFO ]Mapped "{[/repository/deployments/{deploymentId}/resources],methods=[GET],produces=[application/json]}" onto public java.util.List<org.activiti.rest.service.api.repository.DeploymentResourceResponse> org.activiti.rest.service.api.repository.DeploymentResourceCollectionResource.getDeploymentResources(java.lang.String,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.566[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.common.api.DataResponse org.activiti.rest.service.api.repository.ProcessDefinitionCollectionResource.getProcessDefinitions(java.util.Map<java.lang.String, java.lang.String>,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.566[localhost-startStop-1][INFO ]Mapped "{[/repository/models/{modelId}],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.service.api.repository.ModelResponse org.activiti.rest.service.api.repository.ModelResource.getModel(java.lang.String,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.566[localhost-startStop-1][INFO ]Mapped "{[/repository/models/{modelId}],methods=[PUT],produces=[application/json]}" onto public org.activiti.rest.service.api.repository.ModelResponse org.activiti.rest.service.api.repository.ModelResource.updateModel(java.lang.String,org.activiti.rest.service.api.repository.ModelRequest,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.566[localhost-startStop-1][INFO ]Mapped "{[/repository/models/{modelId}],methods=[DELETE]}" onto public void org.activiti.rest.service.api.repository.ModelResource.deleteModel(java.lang.String,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.576[localhost-startStop-1][INFO ]Mapped "{[/form/form-data],methods=[POST],produces=[application/json]}" onto public org.activiti.rest.service.api.runtime.process.ProcessInstanceResponse org.activiti.rest.service.api.form.FormDataResource.submitForm(org.activiti.rest.service.api.form.SubmitFormRequest,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.576[localhost-startStop-1][INFO ]Mapped "{[/form/form-data],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.service.api.form.FormDataResponse org.activiti.rest.service.api.form.FormDataResource.getFormData(java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.576[localhost-startStop-1][INFO ]Mapped "{[/management/tables/{tableName}/columns],methods=[GET],produces=[application/json]}" onto public org.activiti.engine.management.TableMetaData org.activiti.rest.service.api.management.TableColumnsResource.getTableMetaData(java.lang.String)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.584[localhost-startStop-1][INFO ]Mapped "{[/management/properties],methods=[GET],produces=[application/json]}" onto public java.util.Map<java.lang.String, java.lang.String> org.activiti.rest.service.api.management.PropertiesCollectionResource.getProperties()  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.586[localhost-startStop-1][INFO ]Mapped "{[/management/engine],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.service.api.management.ProcessEngineInfoResponse org.activiti.rest.service.api.management.ProcessEngineResource.getEngineInfo()  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.594[localhost-startStop-1][INFO ]Mapped "{[/management/tables],methods=[GET],produces=[application/json]}" onto public java.util.List<org.activiti.rest.service.api.management.TableResponse> org.activiti.rest.service.api.management.TableCollectionResource.getTables(javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.594[localhost-startStop-1][INFO ]Mapped "{[/management/timer-jobs],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.common.api.DataResponse org.activiti.rest.service.api.management.TimerJobCollectionResource.getJobs(java.util.Map<java.lang.String, java.lang.String>,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.596[localhost-startStop-1][INFO ]Mapped "{[/management/tables/{tableName}/data],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.common.api.DataResponse org.activiti.rest.service.api.management.TableDataResource.getTableData(java.lang.String,java.util.Map<java.lang.String, java.lang.String>)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
