16:57:35.316[localhost-startStop-1][INFO ]Successfully released change log lock  liquibase.info:92
16:57:35.378[localhost-startStop-1][INFO ]DmnEngine default created  o.a.d.e.i.DmnEngineImpl.<init>:44
16:57:35.933[localhost-startStop-1][INFO ]Activiti 5 compatibility handler implementation not found or error during instantiation : org.activiti.compatibility.DefaultActiviti5CompatibilityHandler. Activiti 5 backwards compatibility disabled.  o.a.e.c.DefaultActiviti5CompatibilityHandlerFactory.createActiviti5CompatibilityHandler:38
16:57:35.933[localhost-startStop-1][INFO ]Executing configure() of class org.activiti.form.engine.configurator.FormEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.configuratorsAfterInit:1425
16:57:35.933[localhost-startStop-1][INFO ]Executing configure() of class org.activiti.dmn.engine.configurator.DmnEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.configuratorsAfterInit:1425
16:57:35.973[localhost-startStop-1][INFO ]ProcessEngine default created  o.a.e.i.ProcessEngineImpl.<init>:87
16:57:35.973[localhost-startStop-1][INFO ]Starting up the default async job executor [org.activiti.spring.SpringAsyncExecutor].  o.a.e.i.a.DefaultAsyncJobExecutor.start:169
16:57:35.981[Thread-7][INFO ]{} starting to acquire async jobs due  o.a.e.i.a.AcquireAsyncJobsDueRunnable.run:45
16:57:35.981[Thread-8][INFO ]{} starting to acquire async jobs due  o.a.e.i.a.AcquireTimerJobsRunnable.run:49
16:57:35.983[Thread-9][INFO ]{} starting to reset expired jobs  o.a.e.i.a.ResetExpiredJobsRunnable.run:51
16:57:36.668[localhost-startStop-1][INFO ]Mapping filter: 'characterEncodingFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
16:57:36.670[localhost-startStop-1][INFO ]Mapping filter: 'errorPageFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
16:57:36.670[localhost-startStop-1][INFO ]Mapping filter: 'hiddenHttpMethodFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
16:57:36.670[localhost-startStop-1][INFO ]Mapping filter: 'httpPutFormContentFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
16:57:36.670[localhost-startStop-1][INFO ]Mapping filter: 'openEntityManagerInViewFilter' to urls: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:256
16:57:36.670[localhost-startStop-1][INFO ]Mapping filter: 'requestContextFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
16:57:36.670[localhost-startStop-1][INFO ]Mapping filter: 'springSecurityFilterChain' to: [/*]  o.s.b.w.s.DelegatingFilterProxyRegistrationBean.configure:243
16:57:36.670[localhost-startStop-1][INFO ]Mapping filter: 'httpTraceFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
16:57:36.670[localhost-startStop-1][INFO ]Mapping filter: 'webStatFilter' to urls: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:256
16:57:36.670[localhost-startStop-1][INFO ]Mapping filter: 'webMvcMetricsFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
16:57:36.670[localhost-startStop-1][INFO ]Servlet api mapped to [/api/*]  o.s.b.w.s.ServletRegistrationBean.addRegistration:185
16:57:36.670[localhost-startStop-1][INFO ]Servlet app mapped to [/app/*]  o.s.b.w.s.ServletRegistrationBean.addRegistration:185
16:57:36.670[localhost-startStop-1][INFO ]Servlet dispatcherServlet mapped to [/]  o.s.b.w.s.ServletRegistrationBean.addRegistration:185
16:57:36.670[localhost-startStop-1][INFO ]Servlet statViewServlet mapped to [/druid/*]  o.s.b.w.s.ServletRegistrationBean.addRegistration:185
16:57:39.890[localhost-startStop-1][INFO ]Using file-system based content storage (data/)  o.a.a.c.ContentStorageConfiguration.contentStorage:53
16:57:39.890[localhost-startStop-1][INFO ]File system root : D:\ProjectCode\projmgnt-workflow\data  o.a.a.c.ContentStorageConfiguration.contentStorage:63
16:57:40.441[localhost-startStop-1][INFO ]SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@476ef3b4: startup date [Thu Oct 25 16:57:12 CST 2018]; root of context hierarchy] and template loader path [classpath:/email-templates/]  o.s.u.f.SpringTemplateLoader.<init>:62
16:57:40.696[localhost-startStop-1][INFO ]Creating filter chain: Ant [pattern='/api/**'], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@12b4acbf, org.springframework.security.web.context.SecurityContextPersistenceFilter@1c43cc8e, org.springframework.security.web.header.HeaderWriterFilter@3d983878, org.springframework.security.web.authentication.logout.LogoutFilter@67ea0767, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@dfcfd94, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@782f9eb2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@171d6829, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@31c14f2c, org.springframework.security.web.session.SessionManagementFilter@635770c3, org.springframework.security.web.access.ExceptionTranslationFilter@4fa63104, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@45209b85]  o.s.s.w.DefaultSecurityFilterChain.<init>:43
16:57:40.717[localhost-startStop-1][INFO ]Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5a9b412b, org.springframework.security.web.context.SecurityContextPersistenceFilter@5b46190f, org.springframework.security.web.header.HeaderWriterFilter@f128eed, org.springframework.security.web.authentication.logout.LogoutFilter@1cef329c, org.activiti.app.web.CustomUsernamePasswordAuthenticationFilter@40be4790, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7dee6a9c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6610e62a, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@778ade6f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4fb0fc29, org.springframework.security.web.session.SessionManagementFilter@3a2805b9, org.springframework.security.web.access.ExceptionTranslationFilter@727a8e9d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@75eadf97]  o.s.s.w.DefaultSecurityFilterChain.<init>:43
16:57:41.054[localhost-startStop-1][INFO ]Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@476ef3b4: startup date [Thu Oct 25 16:57:12 CST 2018]; root of context hierarchy  o.s.w.s.m.m.a.RequestMappingHandlerAdapter.initControllerAdviceCache:567
16:57:41.185[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}/model],methods=[GET],produces=[application/json]}" onto public org.activiti.bpmn.model.BpmnModel org.activiti.rest.service.api.repository.ProcessDefinitionModelResource.getModelResource(java.lang.String)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
16:57:41.185[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}/resourcedata],methods=[GET]}" onto public byte[] org.activiti.rest.service.api.repository.ProcessDefinitionResourceDataResource.getProcessDefinitionResource(java.lang.String,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
